user_id,payment_date,location,software_name,is_enterprise_customer,revenue_amount
3p3ea1K5uEROGZXV96BuEQ==,2023-02-13,APAC,Customer Success,True,10
JIpswLhDXFCoR6qaLIsm8A==,2022-10-15,APAC,Customer Success,False,15
cM2c40sUp8N5Rd2rPJMzBQ==,2023-02-22,EMEA,Publishing,False,10
LujTs2uvN+aJS9QXWY0XmQ==,2022-10-29,USA,Customer Success,False,10
p/Rp0bJVV2YVSGlNnnXw+Q==,2022-10-15,EMEA,Marketing Automation,False,15
J4RssbnxjSOcU1RdYk0yvw==,2023-05-28,USA,Main App,False,15
NHPRBvzbRwdkUGrm7h6Kxg==,2023-04-14,EMEA,Customer Success,True,10
qmZRB16NnnCdNHWUcSyVDQ==,2022-07-02,USA,Marketing Automation,False,10
FvgcXL6tRRslkNmJb0TACg==,2023-02-10,EMEA,Marketing Automation,False,15
oc34YXluunkedEwYlKx8Zg==,2023-05-29,USA,Marketing Automation,False,10
LGD+VAA9i+xeTlUt3FgZzg==,2022-10-09,EMEA,Publishing,True,10
gyyS8Pxz+6a0eWG/rLnjPQ==,2023-04-25,APAC,Customer Success,False,10
Cd1n6mkeP6kFkVj5KnTP5A==,2022-10-13,USA,Marketing Automation,False,10
EbqL19Gdfjfh0WLS3yw8FA==,2023-02-08,APAC,Main App,True,10
G5HiLupH9A558cQ/Dc9v1g==,2022-06-12,APAC,Marketing Automation,False,15
V4R8BTB8o7MdUkPusV01Ag==,2023-05-23,EMEA,Marketing Automation,False,15
YAl7I6RiVrmJvuw4j41UKg==,2023-04-03,EMEA,Publishing,False,10
omry+7z6fqfVJ/fM3y62Vg==,2023-05-16,USA,Publishing,False,15
jKSOgyMP0Yzld1pVpvyYrg==,2022-10-10,USA,Main App,False,10
nwTsSGdgFBEV7hcDaMMjWw==,2022-10-20,USA,Main App,False,10
IXi8mB/vr7lExuzCf9O2zg==,2023-05-09,APAC,Customer Success,True,10
i/58OgkvFqUbVF52ZBJkZA==,2023-03-02,EMEA,Main App,False,10
bSRBloN8gDcfvt0t4wh+eg==,2023-03-25,USA,Customer Success,False,10
2IAJTGjc1qIkcjKtPOR7QA==,2022-11-08,USA,Customer Success,False,10
fxVpVfQYdYSNmi0L7fSLEQ==,2023-05-22,USA,Customer Success,False,10
/1srEXtTWFCFcirzFBIPbQ==,2022-12-15,EMEA,Publishing,False,10
hoXYPvwKXhsRuY4I44Xq2w==,2022-08-26,EMEA,Marketing Automation,False,10
+lXnF5LB3Zr7wA4AUXjNjQ==,2023-04-22,APAC,Customer Success,False,10
vy86g2RzCK/OzX1enR/Z0Q==,2023-04-05,EMEA,Publishing,False,15
4btLP2zvi8eBV0t08fdkKQ==,2022-11-14,USA,Marketing Automation,True,15
JL3hufN2i0rj+gTD94QTcg==,2022-10-06,USA,Main App,True,10
NSLzqTrYwwb+vWalrEmpKQ==,2023-04-24,APAC,Main App,True,10
eoqO46DzxSrKA2rredUNyQ==,2022-08-25,USA,Marketing Automation,False,15
b85g/xLxpBpMH/joxym4fA==,2022-12-07,USA,Marketing Automation,False,10
9d14aNe02TEldkfng7xtCg==,2023-04-09,APAC,Publishing,True,10
9IWUQ1iWPfYSSN2tWuVqMQ==,2022-06-13,USA,Marketing Automation,False,15
XSs9X9R0Uy5IKwSUwSQR7g==,2022-09-18,USA,Marketing Automation,False,10
vBBeTzngKhpuTBl1+DseGw==,2023-02-15,APAC,Main App,False,10
Qn1wKE8gz9pPz7Td+EYEwQ==,2022-07-03,USA,Marketing Automation,False,10
tukg0unLWSV0iifY2PupSg==,2023-04-25,USA,Main App,False,10
OcDGK8sCZNz5VuktiBzh+g==,2023-01-26,APAC,Customer Success,False,10
W9d1tLrgu5fjKhf33x/zWQ==,2023-05-16,USA,Marketing Automation,False,10
e/6IajqZ922YY1rh2ErMJQ==,2022-06-24,USA,Customer Success,False,10
9vjJq/rp8vMoCaskFY4aJA==,2022-12-21,APAC,Customer Success,True,15
3wWKZuVZKZU0/M/xabUeaA==,2023-01-22,APAC,Main App,False,10
yJf9AA3RHkGmXbxnpAiukA==,2022-08-31,EMEA,Main App,False,10
/7Q2HnD3t3ELUaxszjkOlQ==,2022-06-09,USA,Publishing,False,10
AuJNw7SH8b7lM4j46bNr8A==,2022-11-09,USA,Marketing Automation,False,10
kk0L+OScHHbsOUdcs8hnVQ==,2022-08-20,USA,Marketing Automation,True,15
EK8Qm88mhfx2VCF1/T3IQg==,2023-05-07,APAC,Customer Success,False,20
